# Column 1: Score
# Column 2: Roll
# Column 3: Best Action
1000 23444 0.0 failed
1000 2334 0.0 failed
1000 224466 0.0 failed
1000 113555 1000.0 select-11555-end
1000 23445 1000.0 select-5-end
1000 2335 1000.0 select-5-end
1000 113556 1000.0 select-1155-end
1000 23446 0.0 failed
1000 2336 0.0 failed
1000 235555 1000.0 select-5555-end
1000 235556 1000.0 select-555-end
1000 13666 1000.0 select-1666-end
1000 13355 1000.0 select-155-end
1000 335566 1000.0 select-55-end
1000 13356 1000.0 select-15-end
1000 3333 0.0 failed
1000 24444 0.0 failed
1000 3334 0.0 failed
1000 114555 1000.0 select-11555-end
1000 24445 1000.0 select-5444-end
1000 3335 1000.0 select-5333-end
1000 133666 1000.0 select-1666-end
1000 114556 1000.0 select-1155-end
1000 24446 0.0 failed
1000 3336 0.0 failed
1000 25566 1000.0 select-55-end
1000 133355 1000.0 select-155333-end
1000 133356 1000.0 select-15333-end
1000 111366 1000.0 select-111-end
1000 255666 1000.0 select-55666-end
1000 144444 1000.0 select-144444-end
1000 144445 1000.0 select-154444-end
1000 14666 1000.0 select-1666-end
1000 144446 1000.0 select-14444-end
1000 233366 0.0 failed
1000 122455 1000.0 select-155-end
1000 122456 1000.0 select-15-end
1000 233 0.0 failed
1000 234 0.0 failed
1000 235 1000.0 select-5-end
1000 11122 1000.0 select-111-end
1000 236 0.0 failed
1000 333333 0.0 failed
1000 244455 1000.0 select-55444-end
1000 11123 1000.0 select-111-end
1000 333334 0.0 failed
1000 244456 1000.0 select-5444-end
1000 11124 1000.0 select-111-end
1000 333335 1000.0 select-533333-end
1000 11166 1000.0 select-111-end
1000 11125 1000.0 select-5111-end
1000 333336 0.0 failed
1000 222466 0.0 failed
1000 115555 1000.0 select-115555-end
1000 44555 1000.0 select-555-end
1000 11126 1000.0 select-111-end
1000 134666 1000.0 select-1666-end
1000 115556 1000.0 select-11555-end
1000 44556 1000.0 select-55-end
1000 1455 1000.0 select-155-end
1000 1456 1000.0 select-15-end
1000 22566 1000.0 select-5-end
1000 1144 1000.0 select-11-end
1000 1145 1000.0 select-115-end
1000 22255 1000.0 select-55222-end
1000 344466 0.0 failed
1000 112366 1000.0 select-11-end
1000 1146 1000.0 select-11-end
1000 22256 1000.0 select-5222-end
1000 256666 1000.0 select-56666-end
1000 15666 1000.0 select-15666-end
1000 33344 0.0 failed
1000 123455 1000.0 select-155-end
1000 33345 1000.0 select-5333-end
1000 123456 1000.0 select-15-end
1000 33346 0.0 failed
1000 34466 0.0 failed
1000 445555 1000.0 select-5555-end
1000 445556 1000.0 select-555-end
1000 223466 0.0 failed
1000 45555 1000.0 select-5555-end
1000 135666 1000.0 select-15666-end
1000 45556 1000.0 select-555-end
1000 2455 1000.0 select-55-end
1000 23566 1000.0 select-5-end
1000 2456 1000.0 select-5-end
1000 113366 1000.0 select-11-end
1000 16666 1000.0 select-16666-end
